State abbreviation,Grade,Subject,Parent Standard ID,Standard ID,Level,Standard Order,Standard Number,Standard Category,Standard Text,Adopted Year,Corresponding CA CCSS for ELA/Literacy
CA,K,English Language Learners,0,89e213bc-f9ec-4cb2-8321-939343450bfe,1,'13303494000000000000,CA.I.,Mode of Communication,Part I: Interacting in Meaningful Ways,2012,
CA,K,English Language Learners,89e213bc-f9ec-4cb2-8321-939343450bfe,18c58bdb-236c-4f2b-85a4-1110f32bc7e5,2,'13303494001000000000,I.A.,Mode of Communication,Collaborative,2012,
CA,K,English Language Learners,18c58bdb-236c-4f2b-85a4-1110f32bc7e5,74d0a8ff-be87-4f66-a8f4-a1a52060ac77,3,'13303494001001000000,I.A.1.,Mode of Communication,Exchanging information and ideas with others through oral collaborative conversations on a range of social and academic topics,2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,74d0a8ff-be87-4f66-a8f4-a1a52060ac77,706930b9-a986-482c-8039-9cc741bf5409,4,'13303494001001001000,I.A.1.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,706930b9-a986-482c-8039-9cc741bf5409,690a62c3-ccae-4b6b-8a91-67db742f4547,5,'13303494001001001001,I.A.1.EM.a.,Mode of Communication,"Contribute to conversations and express ideas by asking and answering yes_no and wh_ questions and responding using gestures, words, and simple phrases.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,74d0a8ff-be87-4f66-a8f4-a1a52060ac77,5ab38a9f-079e-42d3-8287-c1d76e0ba421,4,'13303494001001002000,I.A.1.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,5ab38a9f-079e-42d3-8287-c1d76e0ba421,43fc61b2-b3b2-4629-b7ea-076105fd21e9,5,'13303494001001002001,I.A.1.EX.a.,Mode of Communication,"Contribute to class, group, and partner discussions by listening attentively, following turn_taking rules, and asking and answering questions.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,74d0a8ff-be87-4f66-a8f4-a1a52060ac77,676fcc04-f1bd-464f-8c4b-0b688e3d918d,4,'13303494001001003000,I.A.1.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,676fcc04-f1bd-464f-8c4b-0b688e3d918d,421682fd-2d4e-4c27-b29d-0cc7d4a9121c,5,'13303494001001003001,I.A.1.B.a.,Mode of Communication,"Contribute to class, group, and partner discussions by listening attentively, following turn_taking rules, and asking and answering questions.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,18c58bdb-236c-4f2b-85a4-1110f32bc7e5,7918db00-1bf7-4ddd-891d-ee4f449a4a39,3,'13303494001002000000,I.A.2.,Mode of Communication,"Interacting with others in written English in various communicative forms (print, communicative technology, and multimedia)",2012,"W.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,7918db00-1bf7-4ddd-891d-ee4f449a4a39,25061a35-6e9e-44ef-a4e5-b6777bd86131,4,'13303494001002001000,I.A.2.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,25061a35-6e9e-44ef-a4e5-b6777bd86131,b79553d0-0d7e-4227-ab9b-4f27d61cbc91,5,'13303494001002001001,I.A.2.EM.a.,Mode of Communication,"Collaborate with the teacher and peers on joint composing projects of short informational and literary texts that include minimal writing (labeling with a few words), using technology where appropriate for publishing, graphics, etc.",2012,"W.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,7918db00-1bf7-4ddd-891d-ee4f449a4a39,76ca99af-1eef-4233-b7e4-6404559c2a61,4,'13303494001002002000,I.A.2.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,76ca99af-1eef-4233-b7e4-6404559c2a61,7f8d0dfa-b4b3-43f0-988f-2505fda21275,5,'13303494001002002001,I.A.2.EX.a.,Mode of Communication,"Collaborate with the teacher and peers on joint composing projects of informational and literary texts that include some writing (e.g., short sentences), using technology where appropriate for publishing, graphics, etc.",2012,"W.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,7918db00-1bf7-4ddd-891d-ee4f449a4a39,179b7977-617c-4268-b32a-41dc26c83b79,4,'13303494001002003000,I.A.2.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,179b7977-617c-4268-b32a-41dc26c83b79,e42e36a6-aeb5-4108-b465-806948df81f2,5,'13303494001002003001,I.A.2.B.a.,Mode of Communication,"Collaborate with the teacher and peers on joint composing projects of informational and literary texts that include a greater amount of writing (e.g., a very short story), using technology where appropriate for publishing, graphics, etc.",2012,"W.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,18c58bdb-236c-4f2b-85a4-1110f32bc7e5,f0776398-3407-4277-8952-59349d13ab3d,3,'13303494001003000000,I.A.3.,Mode of Communication,Offering and supporting opinions and negotiating with others in communicative exchanges,2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,f0776398-3407-4277-8952-59349d13ab3d,9d4b26ed-66b2-4515-b148-4a086b5babb6,4,'13303494001003001000,I.A.3.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,9d4b26ed-66b2-4515-b148-4a086b5babb6,fe202156-6139-48f8-8414-022a69088b35,5,'13303494001003001001,I.A.3.EM.a.,Mode of Communication,"Offer opinions and ideas in conversations using a small set of learned phrases (e.g., I think X.), as well as open responses.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,f0776398-3407-4277-8952-59349d13ab3d,6733cc3e-6ada-49bc-913d-ebeb2915c008,4,'13303494001003002000,I.A.3.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,6733cc3e-6ada-49bc-913d-ebeb2915c008,3c636893-8ace-4de2-9d4f-abde2d4ed62c,5,'13303494001003002001,I.A.3.EX.a.,Mode of Communication,"Offer opinions in conversations using an expanded set of learned phrases (e.g., I think/don’t think X. I agree with X.), as well as open responses, in order to gain and/or hold the floor.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,f0776398-3407-4277-8952-59349d13ab3d,3f55a848-9aa1-40fe-bd31-74a5c6666cc4,4,'13303494001003003000,I.A.3.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,3f55a848-9aa1-40fe-bd31-74a5c6666cc4,fe876f1c-4857-4928-8c70-9cf023ea93e4,5,'13303494001003003001,I.A.3.B.a.,Mode of Communication,"Offer opinions in conversations using an expanded set of learned phrases (e.g., I think/don’t think X. I agree with X, but . . .), as well as open responses, in order to gain and/or hold the floor or add information to an idea.",2012,"SL.K.1, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,18c58bdb-236c-4f2b-85a4-1110f32bc7e5,d9468139-454c-4a38-ac13-d20a615c91a1,3,'13303494001004000000,I.A.4.,Mode of Communication,"Adapting language choices to various contexts (based on task, purpose, audience, and text type)",2012,Not applicable at kindergarten
CA,K,English Language Learners,d9468139-454c-4a38-ac13-d20a615c91a1,a2caeb2e-c033-4b22-b21a-7ffb7f760392,4,'13303494001004001000,I.A.4.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,a2caeb2e-c033-4b22-b21a-7ffb7f760392,9c6ed23a-f0e2-4b51-acd4-71ef50e941f0,5,'13303494001004001001,,Mode of Communication,No standard for kindergarten.,2012,Not applicable at kindergarten
CA,K,English Language Learners,d9468139-454c-4a38-ac13-d20a615c91a1,2f070840-9fce-4654-b45d-a4e418e09692,4,'13303494001004002000,I.A.4.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,2f070840-9fce-4654-b45d-a4e418e09692,7747ca43-f2cb-4490-8da5-cb45f85262be,5,'13303494001004002001,,Mode of Communication,No standard for kindergarten.,2012,Not applicable at kindergarten
CA,K,English Language Learners,d9468139-454c-4a38-ac13-d20a615c91a1,5132001e-4b9a-4325-b1b9-9f098687a53a,4,'13303494001004003000,I.A.4.B.,Mode of Communication,Bridging,2012,
